Feature,Importance
cat__user_cityid_352.0,0.0
cat__user_cityid_353.0,0.0
cat__user_cityid_354.0,0.0
cat__user_cityid_356.0,0.0
cat__user_cityid_358.0,0.0
cat__user_cityid_359.0,0.0
cat__user_cityid_360.0,0.0
cat__user_cityid_361.0,0.0
cat__user_cityid_363.0,0.0
cat__user_cityid_364.0,0.0
cat__user_cityid_365.0,0.0
cat__user_cityid_366.0,0.0
cat__user_cityid_367.0,0.0
cat__user_cityid_370.0,0.0
cat__user_cityid_371.0,0.0
cat__user_cityid_375.0,0.0
cat__user_cityid_376.0,0.0
cat__user_cityid_378.0,0.0
cat__user_cityid_379.0,0.0
cat__user_cityid_380.0,0.0
cat__user_cityid_381.0,0.0
cat__user_cityid_383.0,0.0
cat__user_cityid_384.0,0.0
cat__user_cityid_386.0,0.0
cat__user_cityid_387.0,0.0
cat__user_cityid_388.0,0.0
cat__user_cityid_389.0,0.0
cat__user_cityid_390.0,0.0
cat__user_cityid_392.0,0.0
cat__user_cityid_393.0,0.0
cat__user_cityid_394.0,0.0
cat__user_cityid_395.0,0.0
cat__user_cityid_396.0,0.0
cat__user_cityid_397.0,0.0
cat__user_cityid_399.0,0.0
cat__user_cityid_400.0,0.0
cat__user_cityid_401.0,0.0
cat__user_cityid_402.0,0.0
cat__user_cityid_405.0,0.0
cat__user_cityid_406.0,0.0
cat__user_cityid_408.0,0.0
cat__user_cityid_409.0,0.0
cat__user_cityid_410.0,0.0
cat__user_cityid_411.0,0.0
cat__user_cityid_412.0,0.0
cat__user_cityid_414.0,0.0
cat__user_cityid_415.0,0.0
cat__user_cityid_417.0,0.0
cat__user_cityid_418.0,0.0
cat__user_cityid_420.0,0.0
cat__user_cityid_425.0,0.0
cat__user_cityid_426.0,0.0
cat__user_cityid_428.0,0.0
cat__user_cityid_429.0,0.0
cat__user_cityid_430.0,0.0
cat__user_cityid_431.0,0.0
cat__user_cityid_433.0,0.0
cat__user_cityid_435.0,0.0
cat__user_cityid_436.0,0.0
cat__user_cityid_438.0,0.0
cat__user_cityid_441.0,0.0
cat__user_cityid_442.0,0.0
cat__user_cityid_445.0,0.0
cat__user_cityid_446.0,0.0
cat__user_cityid_447.0,0.0
cat__user_cityid_449.0,0.0
cat__user_cityid_452.0,0.0
cat__user_cityid_453.0,0.0
cat__user_cityid_455.0,0.0
cat__user_cityid_456.0,0.0
cat__user_cityid_459.0,0.0
cat__user_cityid_460.0,0.0
cat__user_cityid_462.0,0.0
cat__user_cityid_464.0,0.0
cat__user_cityid_465.0,0.0
cat__user_cityid_467.0,0.0
cat__user_cityid_468.0,0.0
cat__user_cityid_469.0,0.0
cat__user_cityid_473.0,0.0
cat__user_cityid_475.0,0.0
cat__user_cityid_476.0,0.0
cat__user_cityid_477.0,0.0
cat__user_cityid_478.0,0.0
cat__user_cityid_480.0,0.0
cat__user_cityid_481.0,0.0
cat__user_cityid_483.0,0.0
cat__user_cityid_484.0,0.0
cat__user_cityid_487.0,0.0
cat__user_cityid_488.0,0.0
cat__user_cityid_489.0,0.0
cat__user_cityid_490.0,0.0
cat__user_cityid_491.0,0.0
cat__user_cityid_493.0,0.0
cat__user_cityid_494.0,0.0
cat__user_cityid_495.0,0.0
cat__user_cityid_496.0,0.0
cat__user_cityid_501.0,0.0
cat__user_cityid_503.0,0.0
cat__user_cityid_509.0,0.0
cat__user_cityid_510.0,0.0
cat__user_cityid_511.0,0.0
cat__user_cityid_512.0,0.0
cat__user_cityid_516.0,0.0
cat__user_cityid_517.0,0.0
cat__user_cityid_518.0,0.0
cat__user_cityid_520.0,0.0
cat__user_cityid_521.0,0.0
cat__user_cityid_524.0,0.0
cat__user_cityid_525.0,0.0
cat__user_cityid_526.0,0.0
cat__user_cityid_528.0,0.0
cat__user_cityid_529.0,0.0
cat__user_cityid_531.0,0.0
cat__user_cityid_532.0,0.0
cat__user_cityid_533.0,0.0
cat__user_cityid_534.0,0.0
cat__user_cityid_535.0,0.0
cat__user_cityid_536.0,0.0
cat__user_cityid_537.0,0.0
cat__user_cityid_538.0,0.0
cat__user_cityid_539.0,0.0
cat__user_cityid_540.0,0.0
cat__user_cityid_542.0,0.0
cat__user_cityid_545.0,0.0
cat__user_cityid_549.0,0.0
cat__user_cityid_554.0,0.0
cat__user_cityid_555.0,0.0
cat__user_cityid_557.0,0.0
cat__user_cityid_560.0,0.0
cat__user_cityid_561.0,0.0
cat__user_cityid_565.0,0.0
cat__user_cityid_566.0,0.0
cat__user_cityid_567.0,0.0
cat__user_cityid_569.0,0.0
cat__user_cityid_570.0,0.0
cat__user_cityid_571.0,0.0
cat__user_cityid_572.0,0.0
cat__user_cityid_573.0,0.0
cat__user_cityid_574.0,0.0
cat__user_cityid_575.0,0.0
cat__user_cityid_576.0,0.0
cat__user_cityid_579.0,0.0
cat__user_cityid_580.0,0.0
cat__user_cityid_583.0,0.0
cat__user_cityid_585.0,0.0
cat__user_cityid_587.0,0.0
cat__user_cityid_590.0,0.0
cat__user_cityid_593.0,0.0
cat__user_cityid_596.0,0.0
cat__user_cityid_599.0,0.0
cat__user_cityid_602.0,0.0
cat__user_cityid_603.0,0.0
cat__user_cityid_605.0,0.0
cat__user_cityid_608.0,0.0
cat__user_cityid_609.0,0.0
cat__user_cityid_610.0,0.0
cat__user_cityid_611.0,0.0
cat__user_cityid_612.0,0.0
cat__user_cityid_614.0,0.0
cat__user_cityid_615.0,0.0
cat__user_cityid_616.0,0.0
cat__user_cityid_617.0,0.0
cat__user_cityid_619.0,0.0
cat__user_cityid_620.0,0.0
cat__user_cityid_622.0,0.0
cat__user_cityid_625.0,0.0
cat__user_cityid_626.0,0.0
cat__user_cityid_627.0,0.0
cat__user_cityid_629.0,0.0
cat__user_cityid_631.0,0.0
cat__user_cityid_633.0,0.0
cat__user_cityid_634.0,0.0
cat__user_cityid_635.0,0.0
